date,invoiceId,project,amount,vat,total,payMethod,clear,remark,supplier
11/7/21,10364,החשמונאים,5000 ,850,"5,850",10296,2,,אדם
11/14/21,10375,בית מארס,47000 ,"7,990","54,990",10302,2,ווצאפ,אדם
11/14/21,10376,רמת החייל,6000 ,"1,020","7,020",10302,2,,אדם
11/14/21,10377,החשמונאים,2000 ,340,"2,340",10302,2,,אדם
11/21/21,10396,בית מארס,30000 ,"5,100","35,100",10309,2,,אדם
11/21/21,10397,רמת החייל,10000 ,"1,700","11,700",10309,2,,אדם
11/21/21,10398,החשמונאים,8000 ,"1,360","9,360",10309,2,,אדם
11/21/21,10399,תיכונט,55000 ,"9,350","64,350",10309,2,,אדם
11/28/21,10415,בית מארס,20000 ,"3,400","23,400","10415, 10416",2,,אדם
11/28/21,10416,תיכונט,85000 ,"14,450","99,450","10415, 10416",2,,אדם
12/5/21,10142,תיכונט,43000 ,"7,310","50,310",10313,2,"עבודת טיכונט - 40,000 ,  עבודות אייל בבית - 3,000",אדם
12/12/21,10446,בית מארס,10000 ,"1,700","11,700",10318,2,,אדם
12/12/21,10444,תיכונט,40000 ,"6,800","46,800",10318,2,,אדם
12/12/21,10445,וונצואלה,10000 ,"1,700","11,700",10318,2,,אדם
12/12/21,10447,מחל 40,10000 ,"1,700","11,700",10318,2,צהוב,אדם
12/19/21,10462,בית מארס,20000 ,"3,400","23,400",10323,2,,אדם
12/26/21,10478,בית מארס,5000 ,850,"5,850",10324,2,,אדם
12/26/21,10479,רמת החייל,5000 ,850,"5,850",10324,2,,אדם
12/26/21,10480,החשמונאים,5000 ,850,"5,850",10324,2,,אדם
1/2/22,10492,בית מארס,30000 ,"5,100","35,100",10332,2,,אדם
1/2/22,10493,וונצואלה,9640 ,"1,639","11,279",10332,2,,אדם
1/9/22,10501,בית מארס,20000 ,"3,400","23,400",10354,2,,אדם
1/9/22,10502,החשמונאים,7000 ,"1,190","8,190",10354,2,,אדם
1/16/22,10516,בית מארס,40000 ,"6,800","46,800",10360,2,,אדם
1/30/22,10545,רמת החייל,29350 ,"4,990","34,340",10365,2,"9,350",אדם
1/30/22,10546,החשמונאים,10000 ,"1,700","11,700",10365,2,,אדם
2/6/22,10547,מחל 40,40000 ,"6,800","46,800",10366,2,צהוב,אדם
2/6/22,10558,רמת החייל,10000 ,"1,700","11,700",10368,2,,אדם
2/6/22,10557,ג. התחמושת,20000 ,"3,400","23,400",10368,2,,אדם
2/13/22,10589,רמת החייל,2150 ,366,"2,516",10371,2,"2,150",אדם
2/13/22,10588,ג. התחמושת,20000 ,"3,400","23,400",10371,2,,אדם
2/20/22,10590,החשמונאים,3600 ,612,"4,212",10372,2,,אדם
2/20/22,10591,ג. התחמושת,16400 ,"2,788","19,188",10372,2,"4,500",אדם
2/27/22,10607,החשמונאים,10000 ,"1,700","11,700",10377,2,,אדם
2/27/22,10608,גשר,30000 ,"5,100","35,100",10377,2,,אדם
3/27/22,10659,ג. התחמושת,5000 ,850,"5,850",10379,2,שיק לתאריך 02.04.22,אדם
3/27/22,10658,החשמונאים,17000 ,"2,890","19,890",10379,2,,אדם
3/27/22,10660,רמת החייל,28000 ,"4,760","32,760",10398,2,שיק לתאריך 15.04.22,אדם
4/27/22,10738,רמת החייל,13000 ,"2,210","15,210",10414,2,עבור החלפת גדר מערבית,אדם
3/4/22,,גשר,20000 ,"3,400","23,400",דרך גמורה,,מזומן,מוטיע
3/20/22,15,גשר,36500 ,"6,205","42,705",10387,5,ע.ס.ג,מוטיע
3/27/22,,גשר,13305 ,"2,262","15,567",,,לוחות דיקטים ,מוטיע
3/15/22,,גשר,4000 ,,"4,000",,,ביטוח,מוטיע
4/3/22,16,גשר,16000 ,"2,720","18,720",10399,5,ע.ס.ג,מוטיע
3/27/22,,גשר,1480 ,252,"1,732",,,לוחות דיקטים ,מוטיע
4/28/22,18,גשר,10000 ,"1,700","11,700",10415,5,ע.ס.ג,מוטיע
4/30/22,,גשר,25210 ,"4,286","29,496",,,"הוצאות ע""ח מוטיע",מוטיע
6/10/22,211,גשר,30000 ,"5,100","35,100",10432,,מ.ע הובלות,מוטיע
6/14/22,,גשר,2000 ,340,"2,340",,,מזומן אלי עבור ברזלן,מוטיע
6/17/22,221,גשר,30000 ,"5,100","35,100",10438,,מ.ע הובלות - יחד עם חמיס,מוטיע
6/23/22,228,גשר,10000 ,"1,700","11,700",10441,,,מוטיע
6/26/22,229,גשר,10000 ,"1,700","11,700",10443,,,מוטיע
6/29/22,240,גשר,25000 ,"4,250","29,250",10444,,שולם בשיק 40000 כולל 15K לחמיס,מוטיע
7/6/22,244,גשר,40000 ,"6,800","46,800",10447,,,מוטיע
7/17/22,250,גשר,2000 ,340,,,,"בתוספת 14,000 ₪ לחמיס",מוטיע
3/4/22,,גשר,10000 ,"1,700","11,700",,,דרך גמורה,חמיס
3/13/22,,גשר,5000 ,850,"5,850",,,מזומן אלי,חמיס
3/20/22,15,גשר,16500 ,"2,805","19,305",10387,,דרך ע.ס.ג,חמיס
3/27/22,170,גשר,8200 ,"1,394","9,594",10392,,,חמיס
3/30/22,171,גשר,11600 ,"1,972","13,572",10395,,"חשבונית נרשם 11,000",חמיס
4/6/22,178,גשר,8500 ,"1,445","9,945",10401,,,חמיס
5/10/22,,גשר,450 ,77,527,,,מברגה,חמיס
5/12/22,193,גשר,10000 ,"1,700","11,700",10403,,,חמיס
5/19/22,196,גשר,13800 ,"2,346","16,146",10405,,,חמיס
5/25/22,203,גשר,12000 ,"2,040","14,040",10421,,,חמיס
6/2/22,206,גשר,13000 ,"2,210","15,210",10429,,,חמיס
6/9/22,209,גשר,10000 ,"1,700","11,700",10430,,,חמיס
6/17/22,221,גשר,12500 ,"2,125","14,625",10438,,חשבונית יחד עם מוטיע,חמיס
7/6/22,245,גשר,18250 ,"3,103","21,353",100448;10449,,"15K + 3K + 250 מונית - חשבונית ע""ס 21,450 שכולל תשלומים עבור מאבה ועבור מתנה לחתונה ",חמיס
7/14/22,250,גשר,14000 ,"2,380","16,380",10451,,"בתוספת ש ל2,000 ₪ עבור מוחמד הפועל של מוטיע",חמיס
7/21/22,264,גשר,19000 ,"3,230","22,230",10454,,,חמיס
7/28/22,265,גשר,19000 ,"3,230","22,230",10456,,,חמיס
8/4/22,279,גשר,13600 ,"2,312","15,912",10461,,,חמיס
8/4/22,279,בבלי,2400 ,408,"2,808",10461,,,חמיס
8/11/22,281,גשר,15000 ,"2,550","17,550",10466,,,חמיס
8/18/22,295,גשר,17500 ,"2,975","20,475",10476,,,חמיס
8/18/22,296,צייטלין 2,5000 ,850,"5,850",10476,,פלוס 5000 (חשבונית 296) לאחמד/פיראס עבור איטום צייטלין,חמיס
8/25/22,302,גשר,10000 ,"1,700","11,700",10478,,,חמיס
8/25/22,303,צייטלין 2,11000 ,"1,870","12,870",10478,,"סה""כ חשבונית 11,000 ₪ - תוספת של  5000 לאייל עבור תשלומים שונים",חמיס
9/1/22,307,גשר,20000 ,"3,400","23,400",10483,,,חמיס
9/1/22,307,צייטלין 2,20000 ,"3,400","23,400",10483,,כולל 7500 - עבור תומר,חמיס
9/11/22,314,גשר,26300 ,"4,471","30,771",10493,,,חמיס
9/11/22,314,צייטלין 2,10000 ,"1,700","11,700",10493,,,חמיס
9/14/22,319,גשר,9000 ,"1,530","10,530",10504,,,חמיס
9/14/22,319,נווה אליעזר,23000 ,"3,910","26,910",10504,,,חמיס
9/14/22,,לורנס קליין,7000 , ,"7,000",,,מזומן אלי,חמיס
9/22/22,330,גשר,27000 ,"4,590","31,590",10517,,,חמיס
9/22/22,329,לורנס קליין,12900 ,"2,193","15,093",10518,,,חמיס
9/29/22,333,גשר,25500 ,"4,335","29,835",10525,,,חמיס
9/29/22,334,צייטלין 2,20500 ,"3,485","23,985",10526,,"כולל 12,000 - עבור תומר",חמיס
10/6/22,,גשר,21000 ,"3,570","24,570",10530,,,חמיס
10/6/22,,צייטלין 2,18000 ,"3,060","21,060",10530,,,חמיס
4/28/22,653,סטף,5000 ,850,"5,850",10416,,,ראפע
5/22/22,1084,גשר,27237 ,"4,630","31,867",10420,2,,גילי
7/14/22,1112,גשר,15000 ,"2,550","17,550",10452,2,,גילי
8/17/22,1125,גשר,15000 ,"2,550","17,550",10474,2,,גילי
9/22/22,1140,גשר,20000 ,"3,400","23,400",10519,2,,גילי
11/18/21,180,בית מארס,10000 ,"1,700","11,700",10303,3,,מאמין
11/25/21,181,בית מארס,25000 ,"4,250","29,250",10308,3,,מאמין
1/9/22,184,בית מארס,20000 ,"3,400","23,400",10334,3,,מאמין
1/17/22,185,בית מארס,11000 ,"1,870","12,870",10335,3,,מאמין
1/17/22,186,החשמונאים,2500 ,425,"2,925",10335,3,,מאמין
1/17/22,187,תיכונט,1500 ,255,"1,755",10335,3,,מאמין
2/16/22,189,ג. התחמושת,15000 ,"2,550","17,550",10369,3,,מאמין
3/10/22,192,ג. התחמושת,10000 ,"1,700","11,700",העברה 13.03.22,3,,מאמין
3/10/22,192,החשמונאים,2500 ,425,"2,925",העברה 13.03.22,3,,מאמין
3/10/22,192,רמת החייל,5000 ,850,"5,850",העברה 13.03.22,3,,מאמין
3/29/22,196,גשר,15000 ,"2,550","17,550",10393,3,,מאמין
3/29/22,22426,גשר,15000 ,"2,550","17,550",10394,,ישירות לספק,מאמין
6/1/22,201,גשר,10000 ,"1,700","11,700",10427,3,,מאמין
6/1/22,2240007,גשר,62500 ,"10,625","73,125",3 שיקים,5,ישירות לספק,מאמין
8/10/22,207,גשר,30000 ,"5,100","35,100",10472,3,,מאמין
8/13/22,23086,גשר,30000 ,"5,100","35,100",10468,,ישירות איארגי,מאמין
10/3/22,,בבלי,10000 ,"1,700","11,700",10529,5,ישירות לספק פרפקט,מאמין
10/3/22,211,בבלי,30000 ,"5,100","35,100",10528,3,,מאמין
7/3/22,394,גשר,35000 ,"5,950","40,950",,5,,אלסוריקי
9/9/22,403,בבלי,70000 ,"11,900","81,900","10469, 10470, 10457, 10458",5,,אלסוריקי
9/9/22,403,גשר,26000 ,"4,420","30,420","10469, 10470, 10457, 10458",5,,אלסוריקי
9/9/22,403,בבלי,54000 ,"9,180","63,180","10469, 10470, 10457, 10458",5,,אלסוריקי
9/9/22,394,בבלי,33000 ,"5,610","38,610",,5,,אלסוריקי
9/9/22,,גשר,50000 ,"8,500","58,500",10509,5,שיק חזר בגלל שהופקד סכום גבוה,אלסוריקי
8/14/22,875,גשר,45600 ,"7,752","53,352",העברה בנקאית,,,מרואן
9/1/22,877,גשר,68400 ,"11,628","80,028",שיק 10487,,,מרואן
9/22/22,895,גשר,68400 ,"11,628","80,028",10521,,,מרואן
9/11/22,312,גשר,100000 ,"17,000","117,000",10480,3,,שריף
9/11/22,3064,בבלי,20000 ,"3,400","23,400",10480,,,אדם
9/14/22,3066,בבלי,30000 ,"5,100","35,100",10503,,,אדם
9/14/22,3066,תחמושת,9000 ,"1,530","10,530",10503,,6500  - אייל,אדם
9/22/22,3068,תחמושת,22000 ,"3,740","25,740",10514,,,אדם
9/22/22,3068,בבלי,12000 ,"2,040","14,040",10514,,,אדם
9/22/22,3067,שונות,70000 ,"11,900","81,900",10515,,"צהוב - גשר 50, בבלי 20",אדם
9/29/22,,תחמושת,28000 ,"4,760","32,760",10524,,,אדם
9/29/22,,בבלי,8000 ,"1,360","9,360",10523,,,אדם
9/29/22,,שונות,8000 ,"1,360","9,360",10523,,תיקון רכב,אדם
9/29/22,,שונות,1500 ,255,"1,755",10523,,הוצאות אייל,אדם
9/6/22,,בבלי,27000 ,"4,590","31,590",10531,,,אדם
3/20/22,15,גשר,36500 ,"6,205","42,705",10387,5,,עמאר
4/3/22,16,גשר,16000 ,"2,720","18,720",10399,5,,עמאר
4/28/22,18,גשר,10000 ,"1,700","11,700",10415,5,,עמאר
9/9/22,25,סטף,75000 ,"12,750","87,750","10495, 10496",5,,עמאר
9/20/22,,סטף,10256 ,"1,744","12,000",אשראי שפיר, ,,עמאר
9/21/22,27,סטף,59250 ,"10,073","69,323","10511, 10513",5,השלמה ל 15%,עמאר
9/7/22,,גשר,50000 ,8500,58500,10498,3,חשבונית ללא ניקוי,עבד
8/30/22,301,צייטלין 2,120000 ,"20,400","140,400",10499,,,פיראס
